country,country_code,country_group,indicator,indicator_code,TIME_PERIOD,OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,FREQ,UNIT_MEASURE,UNIT_TYPE
Singapore,SGP,Advanced economy,internet_users_pct,WB_WDI_IT_NET_USER_ZS,2013,80.9021,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,SGP,_T,_T,_T,_Z,_Z,_Z,A,PT_POP,
Singapore,SGP,Advanced economy,internet_users_pct,WB_WDI_IT_NET_USER_ZS,2014,79.0292,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,SGP,_T,_T,_T,_Z,_Z,_Z,A,PT_POP,
Singapore,SGP,Advanced economy,internet_users_pct,WB_WDI_IT_NET_USER_ZS,2015,79.013,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,SGP,_T,_T,_T,_Z,_Z,_Z,A,PT_POP,
Singapore,SGP,Advanced economy,internet_users_pct,WB_WDI_IT_NET_USER_ZS,2016,84.4523,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,SGP,_T,_T,_T,_Z,_Z,_Z,A,PT_POP,
Singapore,SGP,Advanced economy,internet_users_pct,WB_WDI_IT_NET_USER_ZS,2017,84.4523,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,SGP,_T,_T,_T,_Z,_Z,_Z,A,PT_POP,
Singapore,SGP,Advanced economy,internet_users_pct,WB_WDI_IT_NET_USER_ZS,2018,88.1656,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,SGP,_T,_T,_T,_Z,_Z,_Z,A,PT_POP,
Singapore,SGP,Advanced economy,internet_users_pct,WB_WDI_IT_NET_USER_ZS,2019,88.9493,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,SGP,_T,_T,_T,_Z,_Z,_Z,A,PT_POP,
Singapore,SGP,Advanced economy,internet_users_pct,WB_WDI_IT_NET_USER_ZS,2020,92.0043,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,SGP,_T,_T,_T,_Z,_Z,_Z,A,PT_POP,
Singapore,SGP,Advanced economy,internet_users_pct,WB_WDI_IT_NET_USER_ZS,2021,96.9247,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,SGP,_T,_T,_T,_Z,_Z,_Z,A,PT_POP,
Singapore,SGP,Advanced economy,internet_users_pct,WB_WDI_IT_NET_USER_ZS,2022,95.9539,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,SGP,_T,_T,_T,_Z,_Z,_Z,A,PT_POP,
Singapore,SGP,Advanced economy,internet_users_pct,WB_WDI_IT_NET_USER_ZS,2023,94.2852,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,False,WB_WDI,WB_WDI_IT_NET_USER_ZS,SGP,_T,_T,_T,_Z,_Z,_Z,A,PT_POP,
Singapore,SGP,Advanced economy,internet_users_pct,WB_WDI_IT_NET_USER_ZS,2024,94.3776,P1Y,0,,A,PU,_Z,2,Individuals using the Internet (% of population),WB_WDI,True,WB_WDI,WB_WDI_IT_NET_USER_ZS,SGP,_T,_T,_T,_Z,_Z,_Z,A,PT_POP,
Singapore,SGP,Advanced economy,gdp_per_capita,WB_WDI_NY_GDP_PCAP_CD,2000,23852.838951,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,SGP,_T,_T,_T,_Z,_Z,_Z,A,USD,
Singapore,SGP,Advanced economy,gdp_per_capita,WB_WDI_NY_GDP_PCAP_CD,2001,21699.741487,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,SGP,_T,_T,_T,_Z,_Z,_Z,A,USD,
Singapore,SGP,Advanced economy,gdp_per_capita,WB_WDI_NY_GDP_PCAP_CD,2002,22159.837371,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,SGP,_T,_T,_T,_Z,_Z,_Z,A,USD,
Singapore,SGP,Advanced economy,gdp_per_capita,WB_WDI_NY_GDP_PCAP_CD,2003,23730.384005,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,SGP,_T,_T,_T,_Z,_Z,_Z,A,USD,
Singapore,SGP,Advanced economy,gdp_per_capita,WB_WDI_NY_GDP_PCAP_CD,2004,27608.080013,P1Y,0,,A,PU,_Z,2,GDP per capita (current US$),WB_WDI,False,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,SGP,_T,_T,_T,_Z,_Z,_Z,A,USD,
